iter	Passed	Remaining
0	151	45276
1	158	23608
2	165	16424
3	173	12863
4	180	10665
5	188	9241
6	194	8145
7	201	7348
8	208	6730
9	214	6220
10	220	5799
11	227	5450
12	233	5160
13	239	4897
14	250	4753
15	256	4549
16	262	4368
17	268	4206
18	275	4071
19	281	3937
20	287	3816
21	293	3714
22	300	3617
23	306	3527
24	313	3447
25	319	3366
26	325	3295
27	332	3226
28	338	3167
29	345	3110
30	352	3060
31	359	3008
32	365	2957
33	372	2911
34	378	2866
35	385	2826
36	392	2792
37	399	2751
38	406	2717
39	412	2683
40	417	2638
41	424	2604
42	430	2574
43	437	2546
44	444	2521
45	451	2495
46	458	2469
47	465	2442
48	471	2413
49	478	2390
50	483	2362
51	490	2339
52	496	2313
53	503	2293
54	510	2272
55	516	2250
56	523	2231
57	529	2210
58	536	2191
59	542	2170
60	546	2139
61	552	2119
62	557	2098
63	564	2080
64	570	2061
65	576	2042
66	582	2026
67	588	2009
68	595	1993
69	601	1975
70	607	1959
71	614	1945
72	621	1931
73	627	1915
74	633	1901
75	640	1888
76	647	1874
77	654	1861
78	660	1848
79	666	1834
80	673	1821
81	680	1808
82	686	1795
83	692	1781
84	699	1770
85	708	1762
86	715	1751
87	722	1740
88	729	1729
89	736	1717
90	742	1706
91	751	1698
92	757	1687
93	765	1676
94	771	1665
95	778	1653
96	785	1643
97	792	1632
98	798	1621
99	805	1610
100	812	1600
101	818	1589
102	825	1579
103	832	1568
104	838	1557
105	845	1547
106	852	1537
107	859	1527
108	865	1516
109	872	1507
110	879	1497
111	886	1488
112	893	1479
113	900	1470
114	907	1460
115	914	1450
116	920	1440
117	927	1430
118	934	1421
119	941	1412
120	949	1404
121	955	1394
122	962	1385
123	969	1375
124	975	1365
125	982	1356
126	988	1347
127	994	1336
128	1000	1326
129	1006	1316
130	1013	1307
131	1019	1298
132	1027	1289
133	1034	1281
134	1041	1272
135	1047	1263
136	1054	1254
137	1061	1246
138	1067	1236
139	1074	1227
140	1080	1218
141	1087	1210
142	1093	1200
143	1100	1191
144	1106	1182
145	1112	1173
146	1119	1165
147	1125	1156
148	1132	1148
149	1139	1139
150	1146	1131
151	1154	1123
152	1161	1115
153	1169	1109
154	1177	1101
155	1184	1093
156	1191	1085
157	1198	1077
158	1205	1068
159	1211	1060
160	1215	1049
161	1222	1041
162	1227	1031
163	1234	1023
164	1240	1014
165	1246	1006
166	1253	998
167	1259	989
168	1266	981
169	1273	973
170	1279	965
171	1285	956
172	1292	948
173	1299	941
174	1306	932
175	1312	925
176	1319	917
177	1326	909
178	1332	900
179	1339	892
180	1345	884
181	1352	877
182	1359	869
183	1366	861
184	1373	853
185	1379	845
186	1386	837
187	1392	829
188	1399	821
189	1405	813
190	1412	805
191	1418	798
192	1425	790
193	1432	782
194	1439	775
195	1447	768
196	1453	760
197	1461	752
198	1468	745
199	1475	737
200	1481	729
201	1488	721
202	1494	714
203	1502	706
204	1508	699
205	1514	691
206	1521	683
207	1527	675
208	1533	667
209	1540	660
210	1547	652
211	1554	645
212	1561	637
213	1568	630
214	1574	622
215	1581	615
216	1588	607
217	1595	599
218	1601	592
219	1608	584
220	1614	577
221	1621	569
222	1628	562
223	1635	554
224	1642	547
225	1648	539
226	1655	532
227	1662	525
228	1669	517
229	1675	510
230	1682	502
231	1689	495
232	1695	487
233	1702	480
234	1709	472
235	1716	465
236	1723	458
237	1730	450
238	1736	443
239	1742	435
240	1750	428
241	1756	420
242	1763	413
243	1769	406
244	1776	398
245	1784	391
246	1790	384
247	1797	376
248	1802	369
249	1809	361
250	1815	354
251	1821	347
252	1828	339
253	1834	332
254	1840	324
255	1847	317
256	1854	310
257	1860	302
258	1865	295
259	1872	288
260	1878	280
261	1884	273
262	1890	266
263	1896	258
264	1903	251
265	1909	244
266	1915	236
267	1922	229
268	1932	222
269	1940	215
270	1947	208
271	1955	201
272	1961	193
273	1967	186
274	1973	179
275	1980	172
276	1986	164
277	1992	157
278	1999	150
279	2006	143
280	2012	136
281	2019	128
282	2026	121
283	2034	114
284	2041	107
285	2047	100
286	2054	93
287	2061	85
288	2068	78
289	2074	71
290	2080	64
291	2087	57
292	2094	50
293	2101	42
294	2108	35
295	2115	28
296	2121	21
297	2127	14
298	2134	7
299	2141	0
